"code","description"
"<U+0001F938><U+0001F3FC>","medium-light skin tone person cartwheeling"
"<U+0001F938><U+0001F3FD>","medium skin tone person cartwheeling"
"<U+0001F938><U+0001F3FE>","medium-dark skin tone person cartwheeling"
"<U+0001F938><U+0001F3FF>","dark skin tone person cartwheeling"
"<U+0001F938><U+200D>‰<U+FE0F>","man cartwheeling"
"<U+0001F938><U+0001F3FB><U+200D>‰<U+FE0F>","light skin tone man cartwheeling"
"<U+0001F938><U+0001F3FC><U+200D>‰<U+FE0F>","medium-light skin tone man cartwheeling"
"<U+0001F938><U+0001F3FD><U+200D>‰<U+FE0F>","medium skin tone man cartwheeling"
"<U+0001F938><U+0001F3FE><U+200D>‰<U+FE0F>","medium-dark skin tone man cartwheeling"
"<U+0001F938><U+0001F3FF><U+200D>‰<U+FE0F>","dark skin tone man cartwheeling"
"<U+0001F938><U+200D>Š<U+FE0F>","woman cartwheeling"
"<U+0001F938><U+0001F3FB><U+200D>Š<U+FE0F>","light skin tone woman cartwheeling"
"<U+0001F938><U+0001F3FC><U+200D>Š<U+FE0F>","medium-light skin tone woman cartwheeling"
"<U+0001F938><U+0001F3FD><U+200D>Š<U+FE0F>","medium skin tone woman cartwheeling"
"<U+0001F938><U+0001F3FE><U+200D>Š<U+FE0F>","medium-dark skin tone woman cartwheeling"
"<U+0001F938><U+0001F3FF><U+200D>Š<U+FE0F>","dark skin tone woman cartwheeling"
"<U+0001F93C>","people wrestling"
"<U+0001F93C><U+200D>‰<U+FE0F>","men wrestling"
"<U+0001F93C><U+200D>Š<U+FE0F>","women wrestling"
"<U+0001F93D>","person playing water polo"
"<U+0001F93D><U+0001F3FB>","light skin tone person playing water polo"
"<U+0001F93D><U+0001F3FC>","medium-light skin tone person playing water polo"
"<U+0001F93D><U+0001F3FD>","medium skin tone person playing water polo"
"<U+0001F93D><U+0001F3FE>","medium-dark skin tone person playing water polo"
"<U+0001F93D><U+0001F3FF>","dark skin tone person playing water polo"
"<U+0001F93D><U+200D>‰<U+FE0F>","man playing water polo"
"<U+0001F93D><U+0001F3FB><U+200D>‰<U+FE0F>","light skin tone man playing water polo"
"<U+0001F93D><U+0001F3FC><U+200D>‰<U+FE0F>","medium-light skin tone man playing water polo"
"<U+0001F93D><U+0001F3FD><U+200D>‰<U+FE0F>","medium skin tone man playing water polo"
"<U+0001F93D><U+0001F3FE><U+200D>‰<U+FE0F>","medium-dark skin tone man playing water polo"
"<U+0001F93D><U+0001F3FF><U+200D>‰<U+FE0F>","dark skin tone man playing water polo"
"<U+0001F93D><U+200D>Š<U+FE0F>","woman playing water polo"
"<U+0001F93D><U+0001F3FB><U+200D>Š<U+FE0F>","light skin tone woman playing water polo"
"<U+0001F93D><U+0001F3FC><U+200D>Š<U+FE0F>","medium-light skin tone woman playing water polo"
"<U+0001F93D><U+0001F3FD><U+200D>Š<U+FE0F>","medium skin tone woman playing water polo"
"<U+0001F93D><U+0001F3FE><U+200D>Š<U+FE0F>","medium-dark skin tone woman playing water polo"
"<U+0001F93D><U+0001F3FF><U+200D>Š<U+FE0F>","dark skin tone woman playing water polo"
"<U+0001F93E>","person playing handball"
"<U+0001F93E><U+0001F3FB>","light skin tone person playing handball"
"<U+0001F93E><U+0001F3FC>","medium-light skin tone person playing handball"
"<U+0001F93E><U+0001F3FD>","medium skin tone person playing handball"
"<U+0001F93E><U+0001F3FE>","medium-dark skin tone person playing handball"
"<U+0001F93E><U+0001F3FF>","dark skin tone person playing handball"
"<U+0001F93E><U+200D>‰<U+FE0F>","man playing handball"
"<U+0001F93E><U+0001F3FB><U+200D>‰<U+FE0F>","light skin tone man playing handball"
"<U+0001F93E><U+0001F3FC><U+200D>‰<U+FE0F>","medium-light skin tone man playing handball"
"<U+0001F93E><U+0001F3FD><U+200D>‰<U+FE0F>","medium skin tone man playing handball"
"<U+0001F93E><U+0001F3FE><U+200D>‰<U+FE0F>","medium-dark skin tone man playing handball"
"<U+0001F93E><U+0001F3FF><U+200D>‰<U+FE0F>","dark skin tone man playing handball"
"<U+0001F93E><U+200D>Š<U+FE0F>","woman playing handball"
"<U+0001F93E><U+0001F3FB><U+200D>Š<U+FE0F>","light skin tone woman playing handball"
"<U+0001F93E><U+0001F3FC><U+200D>Š<U+FE0F>","medium-light skin tone woman playing handball"
"<U+0001F93E><U+0001F3FD><U+200D>Š<U+FE0F>","medium skin tone woman playing handball"
"<U+0001F93E><U+0001F3FE><U+200D>Š<U+FE0F>","medium-dark skin tone woman playing handball"
"<U+0001F93E><U+0001F3FF><U+200D>Š<U+FE0F>","dark skin tone woman playing handball"
"<U+0001F939>","person juggling"
"<U+0001F939><U+0001F3FB>","light skin tone person juggling"
"<U+0001F939><U+0001F3FC>","medium-light skin tone person juggling"
"<U+0001F939><U+0001F3FD>","medium skin tone person juggling"
"<U+0001F939><U+0001F3FE>","medium-dark skin tone person juggling"
"<U+0001F939><U+0001F3FF>","dark skin tone person juggling"
"<U+0001F939><U+200D>‰<U+FE0F>","man juggling"
"<U+0001F939><U+0001F3FB><U+200D>‰<U+FE0F>","light skin tone man juggling"
"<U+0001F939><U+0001F3FC><U+200D>‰<U+FE0F>","medium-light skin tone man juggling"
"<U+0001F939><U+0001F3FD><U+200D>‰<U+FE0F>","medium skin tone man juggling"
"<U+0001F939><U+0001F3FE><U+200D>‰<U+FE0F>","medium-dark skin tone man juggling"
"<U+0001F939><U+0001F3FF><U+200D>‰<U+FE0F>","dark skin tone man juggling"
"<U+0001F939><U+200D>Š<U+FE0F>","woman juggling"
"<U+0001F939><U+0001F3FB><U+200D>Š<U+FE0F>","light skin tone woman juggling"
"<U+0001F939><U+0001F3FC><U+200D>Š<U+FE0F>","medium-light skin tone woman juggling"
"<U+0001F939><U+0001F3FD><U+200D>Š<U+FE0F>","medium skin tone woman juggling"
"<U+0001F939><U+0001F3FE><U+200D>Š<U+FE0F>","medium-dark skin tone woman juggling"
"<U+0001F939><U+0001F3FF><U+200D>Š<U+FE0F>","dark skin tone woman juggling"
"<U+0001F46B>","man and woman holding hands"
"<U+0001F46C>","two men holding hands"
"<U+0001F46D>","two women holding hands"
"<U+0001F48F>","kiss"
"<U+0001F469><U+200D><U+2764><U+FE0F><U+200D><U+0001F48B><U+200D><U+0001F468>","woman, man kiss"
"<U+0001F468><U+200D><U+2764><U+FE0F><U+200D><U+0001F48B><U+200D><U+0001F468>","man, man kiss"
"<U+0001F469><U+200D><U+2764><U+FE0F><U+200D><U+0001F48B><U+200D><U+0001F469>","woman, woman kiss"
"<U+0001F491>","couple with heart"
"<U+0001F469><U+200D><U+2764><U+FE0F><U+200D><U+0001F468>","woman, man couple with heart"
"<U+0001F468><U+200D><U+2764><U+FE0F><U+200D><U+0001F468>","man, man couple with heart"
"<U+0001F469><U+200D><U+2764><U+FE0F><U+200D><U+0001F469>","woman, woman couple with heart"
"<U+0001F46A>","family"
"<U+0001F468><U+200D><U+0001F469><U+200D><U+0001F466>","man, woman, boy family"
"<U+0001F468><U+200D><U+0001F469><U+200D><U+0001F467>","man, woman, girl family"
"<U+0001F468><U+200D><U+0001F469><U+200D><U+0001F467><U+200D><U+0001F466>","man, woman, girl, boy family"
"<U+0001F468><U+200D><U+0001F469><U+200D><U+0001F466><U+200D><U+0001F466>","man, woman, boy, boy family"
"<U+0001F468><U+200D><U+0001F469><U+200D><U+0001F467><U+200D><U+0001F467>","man, woman, girl, girl family"
"<U+0001F468><U+200D><U+0001F468><U+200D><U+0001F466>","man, man, boy family"
"<U+0001F468><U+200D><U+0001F468><U+200D><U+0001F467>","man, man, girl family"
"<U+0001F468><U+200D><U+0001F468><U+200D><U+0001F467><U+200D><U+0001F466>","man, man, girl, boy family"
"<U+0001F468><U+200D><U+0001F468><U+200D><U+0001F466><U+200D><U+0001F466>","man, man, boy, boy family"
"<U+0001F468><U+200D><U+0001F468><U+200D><U+0001F467><U+200D><U+0001F467>","man, man, girl, girl family"
"<U+0001F469><U+200D><U+0001F469><U+200D><U+0001F466>","woman, woman, boy family"
"<U+0001F469><U+200D><U+0001F469><U+200D><U+0001F467>","woman, woman, girl family"
"<U+0001F469><U+200D><U+0001F469><U+200D><U+0001F467><U+200D><U+0001F466>","woman, woman, girl, boy family"
"<U+0001F469><U+200D><U+0001F469><U+200D><U+0001F466><U+200D><U+0001F466>","woman, woman, boy, boy family"
"<U+0001F469><U+200D><U+0001F469><U+200D><U+0001F467><U+200D><U+0001F467>","woman, woman, girl, girl family"
"<U+0001F468><U+200D><U+0001F466>","man, boy family"
"<U+0001F468><U+200D><U+0001F466><U+200D><U+0001F466>","man, boy, boy family"
"<U+0001F468><U+200D><U+0001F467>","man, girl family"
"<U+0001F468><U+200D><U+0001F467><U+200D><U+0001F466>","man, girl, boy family"
"<U+0001F468><U+200D><U+0001F467><U+200D><U+0001F467>","man, girl, girl family"
"<U+0001F469><U+200D><U+0001F466>","woman, boy family"
"<U+0001F469><U+200D><U+0001F466><U+200D><U+0001F466>","woman, boy, boy family"
"<U+0001F469><U+200D><U+0001F467>","woman, girl family"
"<U+0001F469><U+200D><U+0001F467><U+200D><U+0001F466>","woman, girl, boy family"
"<U+0001F469><U+200D><U+0001F467><U+200D><U+0001F467>","woman, girl, girl family"
"<U+0001F933>","selfie"
"<U+0001F933><U+0001F3FB>","light skin tone selfie"
"<U+0001F933><U+0001F3FC>","medium-light skin tone selfie"
"<U+0001F933><U+0001F3FD>","medium skin tone selfie"
"<U+0001F933><U+0001F3FE>","medium-dark skin tone selfie"
"<U+0001F933><U+0001F3FF>","dark skin tone selfie"
"<U+0001F4AA>","flexed biceps"
"<U+0001F4AA><U+0001F3FB>","light skin tone flexed biceps"
"<U+0001F4AA><U+0001F3FC>","medium-light skin tone flexed biceps"
"<U+0001F4AA><U+0001F3FD>","medium skin tone flexed biceps"
"<U+0001F4AA><U+0001F3FE>","medium-dark skin tone flexed biceps"
"<U+0001F4AA><U+0001F3FF>","dark skin tone flexed biceps"
"<U+0001F448>","backhand index pointing left"
"<U+0001F448><U+0001F3FB>","light skin tone backhand index pointing left"
"<U+0001F448><U+0001F3FC>","medium-light skin tone backhand index pointing left"
"<U+0001F448><U+0001F3FD>","medium skin tone backhand index pointing left"
"<U+0001F448><U+0001F3FE>","medium-dark skin tone backhand index pointing left"
"<U+0001F448><U+0001F3FF>","dark skin tone backhand index pointing left"
"<U+0001F449>","backhand index pointing right"
"<U+0001F449><U+0001F3FB>","light skin tone backhand index pointing right"
"<U+0001F449><U+0001F3FC>","medium-light skin tone backhand index pointing right"
"<U+0001F449><U+0001F3FD>","medium skin tone backhand index pointing right"
"<U+0001F449><U+0001F3FE>","medium-dark skin tone backhand index pointing right"
"<U+0001F449><U+0001F3FF>","dark skin tone backhand index pointing right"
"<U+261D>","index pointing up"
"<U+261D><U+0001F3FB>","light skin tone index pointing up"
"<U+261D><U+0001F3FC>","medium-light skin tone index pointing up"
"<U+261D><U+0001F3FD>","medium skin tone index pointing up"
"<U+261D><U+0001F3FE>","medium-dark skin tone index pointing up"
"<U+261D><U+0001F3FF>","dark skin tone index pointing up"
"<U+0001F446>","backhand index pointing up"
"<U+0001F446><U+0001F3FB>","light skin tone backhand index pointing up"
"<U+0001F446><U+0001F3FC>","medium-light skin tone backhand index pointing up"
"<U+0001F446><U+0001F3FD>","medium skin tone backhand index pointing up"
"<U+0001F446><U+0001F3FE>","medium-dark skin tone backhand index pointing up"
"<U+0001F446><U+0001F3FF>","dark skin tone backhand index pointing up"
"<U+0001F595>","middle finger"
"<U+0001F595><U+0001F3FB>","light skin tone middle finger"
"<U+0001F595><U+0001F3FC>","medium-light skin tone middle finger"
"<U+0001F595><U+0001F3FD>","medium skin tone middle finger"
"<U+0001F595><U+0001F3FE>","medium-dark skin tone middle finger"
"<U+0001F595><U+0001F3FF>","dark skin tone middle finger"
"<U+0001F447>","backhand index pointing down"
"<U+0001F447><U+0001F3FB>","light skin tone backhand index pointing down"
"<U+0001F447><U+0001F3FC>","medium-light skin tone backhand index pointing down"
"<U+0001F447><U+0001F3FD>","medium skin tone backhand index pointing down"
"<U+0001F447><U+0001F3FE>","medium-dark skin tone backhand index pointing down"
"<U+0001F447><U+0001F3FF>","dark skin tone backhand index pointing down"
"<U+270C>","victory hand"
"<U+270C><U+0001F3FB>","light skin tone victory hand"
"<U+270C><U+0001F3FC>","medium-light skin tone victory hand"
"<U+270C><U+0001F3FD>","medium skin tone victory hand"
"<U+270C><U+0001F3FE>","medium-dark skin tone victory hand"
"<U+270C><U+0001F3FF>","dark skin tone victory hand"
"<U+0001F91E>","crossed fingers"
"<U+0001F91E><U+0001F3FB>","light skin tone crossed fingers"
"<U+0001F91E><U+0001F3FC>","medium-light skin tone crossed fingers"
"<U+0001F91E><U+0001F3FD>","medium skin tone crossed fingers"
"<U+0001F91E><U+0001F3FE>","medium-dark skin tone crossed fingers"
"<U+0001F91E><U+0001F3FF>","dark skin tone crossed fingers"
"<U+0001F596>","vulcan salute"
"<U+0001F596><U+0001F3FB>","light skin tone vulcan salute"
"<U+0001F596><U+0001F3FC>","medium-light skin tone vulcan salute"
"<U+0001F596><U+0001F3FD>","medium skin tone vulcan salute"
"<U+0001F596><U+0001F3FE>","medium-dark skin tone vulcan salute"
"<U+0001F596><U+0001F3FF>","dark skin tone vulcan salute"
"<U+0001F918>","sign of the horns"
"<U+0001F918><U+0001F3FB>","light skin tone sign of the horns"
"<U+0001F918><U+0001F3FC>","medium-light skin tone sign of the horns"
"<U+0001F918><U+0001F3FD>","medium skin tone sign of the horns"
"<U+0001F918><U+0001F3FE>","medium-dark skin tone sign of the horns"
"<U+0001F918><U+0001F3FF>","dark skin tone sign of the horns"
"<U+0001F919>","call me hand"
"<U+0001F919><U+0001F3FB>","light skin tone call me hand"
"<U+0001F919><U+0001F3FC>","medium-light skin tone call me hand"
"<U+0001F919><U+0001F3FD>","medium skin tone call me hand"
"<U+0001F919><U+0001F3FE>","medium-dark skin tone call me hand"
"<U+0001F919><U+0001F3FF>","dark skin tone call me hand"
"<U+0001F590>","hand with fingers splayed"
"<U+0001F590><U+0001F3FB>","light skin tone hand with fingers splayed"
"<U+0001F590><U+0001F3FC>","medium-light skin tone hand with fingers splayed"
"<U+0001F590><U+0001F3FD>","medium skin tone hand with fingers splayed"
"<U+0001F590><U+0001F3FE>","medium-dark skin tone hand with fingers splayed"
"<U+0001F590><U+0001F3FF>","dark skin tone hand with fingers splayed"
"<U+270B>","raised hand"
"<U+270B><U+0001F3FB>","light skin tone raised hand"
"<U+270B><U+0001F3FC>","medium-light skin tone raised hand"
"<U+270B><U+0001F3FD>","medium skin tone raised hand"
"<U+270B><U+0001F3FE>","medium-dark skin tone raised hand"
"<U+270B><U+0001F3FF>","dark skin tone raised hand"
"<U+0001F44C>","OK hand"
"<U+0001F44C><U+0001F3FB>","light skin tone OK hand"
"<U+0001F44C><U+0001F3FC>","medium-light skin tone OK hand"
"<U+0001F44C><U+0001F3FD>","medium skin tone OK hand"
"<U+0001F44C><U+0001F3FE>","medium-dark skin tone OK hand"
"<U+0001F44C><U+0001F3FF>","dark skin tone OK hand"
"<U+0001F44D>","thumbs up"
"<U+0001F44D><U+0001F3FB>","light skin tone thumbs up"
"<U+0001F44D><U+0001F3FC>","medium-light skin tone thumbs up"
"<U+0001F44D><U+0001F3FD>","medium skin tone thumbs up"
"<U+0001F44D><U+0001F3FE>","medium-dark skin tone thumbs up"
"<U+0001F44D><U+0001F3FF>","dark skin tone thumbs up"
"<U+0001F44E>","thumbs down"
"<U+0001F44E><U+0001F3FB>","light skin tone thumbs down"
"<U+0001F44E><U+0001F3FC>","medium-light skin tone thumbs down"
"<U+0001F44E><U+0001F3FD>","medium skin tone thumbs down"
"<U+0001F44E><U+0001F3FE>","medium-dark skin tone thumbs down"
"<U+0001F44E><U+0001F3FF>","dark skin tone thumbs down"
"<U+270A>","raised fist"
"<U+270A><U+0001F3FB>","light skin tone raised fist"
"<U+270A><U+0001F3FC>","medium-light skin tone raised fist"
"<U+270A><U+0001F3FD>","medium skin tone raised fist"
"<U+270A><U+0001F3FE>","medium-dark skin tone raised fist"
"<U+270A><U+0001F3FF>","dark skin tone raised fist"
"<U+0001F44A>","oncoming fist"
"<U+0001F44A><U+0001F3FB>","light skin tone oncoming fist"
"<U+0001F44A><U+0001F3FC>","medium-light skin tone oncoming fist"
"<U+0001F44A><U+0001F3FD>","medium skin tone oncoming fist"
"<U+0001F44A><U+0001F3FE>","medium-dark skin tone oncoming fist"
"<U+0001F44A><U+0001F3FF>","dark skin tone oncoming fist"
"<U+0001F91B>","left-facing fist"
"<U+0001F91B><U+0001F3FB>","light skin tone left-facing fist"
"<U+0001F91B><U+0001F3FC>","medium-light skin tone left-facing fist"
"<U+0001F91B><U+0001F3FD>","medium skin tone left-facing fist"
"<U+0001F91B><U+0001F3FE>","medium-dark skin tone left-facing fist"
"<U+0001F91B><U+0001F3FF>","dark skin tone left-facing fist"
"<U+0001F91C>","right-facing fist"
"<U+0001F91C><U+0001F3FB>","light skin tone right-facing fist"
"<U+0001F91C><U+0001F3FC>","medium-light skin tone right-facing fist"
"<U+0001F91C><U+0001F3FD>","medium skin tone right-facing fist"
"<U+0001F91C><U+0001F3FE>","medium-dark skin tone right-facing fist"
"<U+0001F91C><U+0001F3FF>","dark skin tone right-facing fist"
"<U+0001F91A>","raised back of hand"
"<U+0001F91A><U+0001F3FB>","light skin tone raised back of hand"
"<U+0001F91A><U+0001F3FC>","medium-light skin tone raised back of hand"
"<U+0001F91A><U+0001F3FD>","medium skin tone raised back of hand"
"<U+0001F91A><U+0001F3FE>","medium-dark skin tone raised back of hand"
"<U+0001F91A><U+0001F3FF>","dark skin tone raised back of hand"
"<U+0001F44B>","waving hand"
"<U+0001F44B><U+0001F3FB>","light skin tone waving hand"
"<U+0001F44B><U+0001F3FC>","medium-light skin tone waving hand"
"<U+0001F44B><U+0001F3FD>","medium skin tone waving hand"
"<U+0001F44B><U+0001F3FE>","medium-dark skin tone waving hand"
"<U+0001F44B><U+0001F3FF>","dark skin tone waving hand"
"<U+0001F91F>","love-you gesture"
"<U+0001F91F><U+0001F3FB>","light skin tone love-you gesture"
"<U+0001F91F><U+0001F3FC>","medium-light skin tone love-you gesture"
"<U+0001F91F><U+0001F3FD>","medium skin tone love-you gesture"
"<U+0001F91F><U+0001F3FE>","medium-dark skin tone love-you gesture"
"<U+0001F91F><U+0001F3FF>","dark skin tone love-you gesture"
"<U+270D>","writing hand"
"<U+270D><U+0001F3FB>","light skin tone writing hand"
"<U+270D><U+0001F3FC>","medium-light skin tone writing hand"
"<U+270D><U+0001F3FD>","medium skin tone writing hand"
"<U+270D><U+0001F3FE>","medium-dark skin tone writing hand"
"<U+270D><U+0001F3FF>","dark skin tone writing hand"
"<U+0001F44F>","clapping hands"
"<U+0001F44F><U+0001F3FB>","light skin tone clapping hands"
"<U+0001F44F><U+0001F3FC>","medium-light skin tone clapping hands"
"<U+0001F44F><U+0001F3FD>","medium skin tone clapping hands"
"<U+0001F44F><U+0001F3FE>","medium-dark skin tone clapping hands"
"<U+0001F44F><U+0001F3FF>","dark skin tone clapping hands"
"<U+0001F450>","open hands"
"<U+0001F450><U+0001F3FB>","light skin tone open hands"
"<U+0001F450><U+0001F3FC>","medium-light skin tone open hands"
"<U+0001F450><U+0001F3FD>","medium skin tone open hands"
"<U+0001F450><U+0001F3FE>","medium-dark skin tone open hands"
"<U+0001F450><U+0001F3FF>","dark skin tone open hands"
"<U+0001F64C>","raising hands"
"<U+0001F64C><U+0001F3FB>","light skin tone raising hands"
"<U+0001F64C><U+0001F3FC>","medium-light skin tone raising hands"
"<U+0001F64C><U+0001F3FD>","medium skin tone raising hands"
"<U+0001F64C><U+0001F3FE>","medium-dark skin tone raising hands"
"<U+0001F64C><U+0001F3FF>","dark skin tone raising hands"
"<U+0001F932>","palms up together"
"<U+0001F932><U+0001F3FB>","light skin tone palms up together"
"<U+0001F932><U+0001F3FC>","medium-light skin tone palms up together"
"<U+0001F932><U+0001F3FD>","medium skin tone palms up together"
"<U+0001F932><U+0001F3FE>","medium-dark skin tone palms up together"
"<U+0001F932><U+0001F3FF>","dark skin tone palms up together"
"<U+0001F64F>","folded hands"
"<U+0001F64F><U+0001F3FB>","light skin tone folded hands"
"<U+0001F64F><U+0001F3FC>","medium-light skin tone folded hands"
"<U+0001F64F><U+0001F3FD>","medium skin tone folded hands"
"<U+0001F64F><U+0001F3FE>","medium-dark skin tone folded hands"
"<U+0001F64F><U+0001F3FF>","dark skin tone folded hands"
"<U+0001F91D>","handshake"
"<U+0001F485>","nail polish"
"<U+0001F485><U+0001F3FB>","light skin tone nail polish"
"<U+0001F485><U+0001F3FC>","medium-light skin tone nail polish"
"<U+0001F485><U+0001F3FD>","medium skin tone nail polish"
"<U+0001F485><U+0001F3FE>","medium-dark skin tone nail polish"
"<U+0001F485><U+0001F3FF>","dark skin tone nail polish"
"<U+0001F442>","ear"
"<U+0001F442><U+0001F3FB>","light skin tone ear"
"<U+0001F442><U+0001F3FC>","medium-light skin tone ear"
"<U+0001F442><U+0001F3FD>","medium skin tone ear"
"<U+0001F442><U+0001F3FE>","medium-dark skin tone ear"
"<U+0001F442><U+0001F3FF>","dark skin tone ear"
"<U+0001F443>","nose"
"<U+0001F443><U+0001F3FB>","light skin tone nose"
"<U+0001F443><U+0001F3FC>","medium-light skin tone nose"
"<U+0001F443><U+0001F3FD>","medium skin tone nose"
"<U+0001F443><U+0001F3FE>","medium-dark skin tone nose"
"<U+0001F443><U+0001F3FF>","dark skin tone nose"
"<U+0001F463>","footprints"
"<U+0001F440>","eyes"
"<U+0001F441>","eye"
"<U+0001F441><U+FE0F><U+200D><U+0001F5E8><U+FE0F>","eye in speech bubble"
"<U+0001F9E0>","brain"
"<U+0001F445>","tongue"
"<U+0001F444>","mouth"
"<U+0001F48B>","kiss mark"
"<U+0001F498>","heart with arrow"
"<U+2764>","red heart"
"<U+0001F493>","beating heart"
"<U+0001F494>","broken heart"
"<U+0001F495>","two hearts"
"<U+0001F496>","sparkling heart"
"<U+0001F497>","growing heart"
"<U+0001F499>","blue heart"
"<U+0001F49A>","green heart"
"<U+0001F49B>","yellow heart"
"<U+0001F9E1>","orange heart"
"<U+0001F49C>","purple heart"
"<U+0001F5A4>","black heart"
"<U+0001F49D>","heart with ribbon"
"<U+0001F49E>","revolving hearts"
"<U+0001F49F>","heart decoration"
"<U+2763>","heavy heart exclamation"
"<U+0001F48C>","love letter"
"<U+0001F4A4>","zzz"
"<U+0001F4A2>","anger symbol"
"<U+0001F4A3>","bomb"
"<U+0001F4A5>","collision"
"<U+0001F4A6>","sweat droplets"
"<U+0001F4A8>","dashing away"
"<U+0001F4AB>","dizzy"
"<U+0001F4AC>","speech balloon"
"<U+0001F5E8>","left speech bubble"
"<U+0001F5EF>","right anger bubble"
"<U+0001F4AD>","thought balloon"
"<U+0001F573>","hole"
"<U+0001F453>","glasses"
"<U+0001F576>","sunglasses"
"<U+0001F454>","necktie"
"<U+0001F455>","t-shirt"
"<U+0001F456>","jeans"
"<U+0001F9E3>","scarf"
"<U+0001F9E4>","gloves"
"<U+0001F9E5>","coat"
"<U+0001F9E6>","socks"
"<U+0001F457>","dress"
"<U+0001F458>","kimono"
"<U+0001F459>","bikini"
"<U+0001F45A>","womanfs clothes"
"<U+0001F45B>","purse"
"<U+0001F45C>","handbag"
"<U+0001F45D>","clutch bag"
"<U+0001F6CD>","shopping bags"
"<U+0001F392>","school backpack"
"<U+0001F45E>","manfs shoe"
"<U+0001F45F>","running shoe"
"<U+0001F460>","high-heeled shoe"
"<U+0001F461>","womanfs sandal"
"<U+0001F462>","womanfs boot"
"<U+0001F451>","crown"
"<U+0001F452>","womanfs hat"
"<U+0001F3A9>","top hat"
"<U+0001F393>","graduation cap"
"<U+0001F9E2>","billed cap"
"<U+26D1>","rescue workerfs helmet"
"<U+0001F4FF>","prayer beads"
"<U+0001F484>","lipstick"
"<U+0001F48D>","ring"
"<U+0001F48E>","gem stone"
"<U+0001F435>","monkey face"
"<U+0001F412>","monkey"
"<U+0001F98D>","gorilla"
"<U+0001F436>","dog face"
"<U+0001F415>","dog"
"<U+0001F429>","poodle"
"<U+0001F43A>","wolf face"
"<U+0001F98A>","fox face"
"<U+0001F431>","cat face"
"<U+0001F408>","cat"
"<U+0001F981>","lion face"
"<U+0001F42F>","tiger face"
"<U+0001F405>","tiger"
"<U+0001F406>","leopard"
"<U+0001F434>","horse face"
"<U+0001F40E>","horse"
"<U+0001F984>","unicorn face"
"<U+0001F993>","zebra"
"<U+0001F98C>","deer"
"<U+0001F42E>","cow face"
"<U+0001F402>","ox"
"<U+0001F403>","water buffalo"
"<U+0001F404>","cow"
"<U+0001F437>","pig face"
"<U+0001F416>","pig"
"<U+0001F417>","boar"
"<U+0001F43D>","pig nose"
"<U+0001F40F>","ram"
"<U+0001F411>","ewe"
"<U+0001F410>","goat"
"<U+0001F42A>","camel"
"<U+0001F42B>","two-hump camel"
"<U+0001F992>","giraffe"
"<U+0001F418>","elephant"
"<U+0001F98F>","rhinoceros"
"<U+0001F42D>","mouse face"
"<U+0001F401>","mouse"
"<U+0001F400>","rat"
"<U+0001F439>","hamster face"
"<U+0001F430>","rabbit face"
"<U+0001F407>","rabbit"
"<U+0001F43F>","chipmunk"
"<U+0001F994>","hedgehog"
"<U+0001F987>","bat"
"<U+0001F43B>","bear face"
"<U+0001F428>","koala"
"<U+0001F43C>","panda face"
"<U+0001F43E>","paw prints"
"<U+0001F983>","turkey"
"<U+0001F414>","chicken"
"<U+0001F413>","rooster"
"<U+0001F423>","hatching chick"
"<U+0001F424>","baby chick"
"<U+0001F425>","front-facing baby chick"
"<U+0001F426>","bird"
"<U+0001F427>","penguin"
"<U+0001F54A>","dove"
"<U+0001F985>","eagle"
"<U+0001F986>","duck"
"<U+0001F989>","owl"
"<U+0001F438>","frog face"
"<U+0001F40A>","crocodile"
"<U+0001F422>","turtle"
"<U+0001F98E>","lizard"
"<U+0001F40D>","snake"
"<U+0001F432>","dragon face"
"<U+0001F409>","dragon"
"<U+0001F995>","sauropod"
"<U+0001F996>","T-Rex"
"<U+0001F433>","spouting whale"
"<U+0001F40B>","whale"
"<U+0001F42C>","dolphin"
"<U+0001F41F>","fish"
"<U+0001F420>","tropical fish"
"<U+0001F421>","blowfish"
"<U+0001F988>","shark"
"<U+0001F419>","octopus"
"<U+0001F41A>","spiral shell"
"<U+0001F980>","crab"
"<U+0001F990>","shrimp"
"<U+0001F991>","squid"
"<U+0001F40C>","snail"
"<U+0001F98B>","butterfly"
"<U+0001F41B>","bug"
"<U+0001F41C>","ant"
"<U+0001F41D>","honeybee"
"<U+0001F41E>","lady beetle"
"<U+0001F997>","cricket"
"<U+0001F577>","spider"
"<U+0001F578>","spider web"
"<U+0001F982>","scorpion"
"<U+0001F490>","bouquet"
"<U+0001F338>","cherry blossom"
"<U+0001F4AE>","white flower"
"<U+0001F3F5>","rosette"
"<U+0001F339>","rose"
"<U+0001F940>","wilted flower"
"<U+0001F33A>","hibiscus"
"<U+0001F33B>","sunflower"
"<U+0001F33C>","blossom"
"<U+0001F337>","tulip"
"<U+0001F331>","seedling"
"<U+0001F332>","evergreen tree"
"<U+0001F333>","deciduous tree"
"<U+0001F334>","palm tree"
"<U+0001F335>","cactus"
"<U+0001F33E>","sheaf of rice"
"<U+0001F33F>","herb"
"<U+2618>","shamrock"
"<U+0001F340>","four leaf clover"
"<U+0001F341>","maple leaf"
"<U+0001F342>","fallen leaf"
"<U+0001F343>","leaf fluttering in wind"
"<U+0001F347>","grapes"
"<U+0001F348>","melon"
"<U+0001F349>","watermelon"
"<U+0001F34A>","tangerine"
"<U+0001F34B>","lemon"
"<U+0001F34C>","banana"
